sectorFrom,supplySector,scenario,x,units,region,subRegion,param,sectorTo,value,normValue,fromLabel,legendLabel
Agriculture_all,Agriculture,Reference,0,km2,Argentina,LaPampa_media,param,total,78,1,Agriculture_all 78 km2,Agriculture_all km2
Electricity_all,Electricity,Reference,0,GWh,Argentina,LaPampa_media,param,total,157.78705,1,Electricity_all 157.8 GWh,Electricity_all GWh
Water_all,Water,Reference,0,km3,Argentina,LaPampa_media,param,total,2.496776792,1,Water_all 2.5 km3,Water_all km3
