sectorFrom,supplySector,scenario,x,units,region,subRegion,param,sectorTo,value,normValue,fromLabel,legendLabel
Agriculture_all,Agriculture,Policy,0,km2,Argentina,Colorado,param,total,2043.55188,1,Agriculture_all 2043.6 km2,Agriculture_all km2
Electricity_all,Electricity,Policy,0,GWh,Argentina,Colorado,param,total,2053.66946221,1,Electricity_all 2053.7 GWh,Electricity_all GWh
Livestock_all,Livestock,Policy,0,head,Argentina,Colorado,param,total,262979,1,Livestock_all 262979 head,Livestock_all head
Water_all,Water,Policy,0,km3,Argentina,Colorado,param,total,4.6074,1,Water_all 4.6 km3,Water_all km3
