sectorFrom,supplySector,scenario,x,units,region,subRegion,param,sectorTo,value,normValue,fromLabel,legendLabel
Agriculture_all,Agriculture,Reference,0,km2,Argentina,Corfo,param,total,1400,1,Agriculture_all 1400 km2,Agriculture_all km2
Electricity_all,Electricity,Reference,0,GWh,Argentina,Corfo,param,total,95.92361,1,Electricity_all 95.9 GWh,Electricity_all GWh
Livestock_all,Livestock,Reference,0,head,Argentina,Corfo,param,total,262979,1,Livestock_all 262979 head,Livestock_all head
Water_all,Water,Reference,0,km3,Argentina,Corfo,param,total,4.064798438,1,Water_all 4.1 km3,Water_all km3
