sectorTo,sectorFrom,supplySector,scenario,x,region,subRegion,units,param,value,normValue,fromLabel,legendLabel
Ag,Water_all,Water,Reference,0,Argentina,Neuquen_alta_barrancas,km3,param,0.0087,0.0105024898143957,Water_all 0.83 km3,Water_all km3
downstream,Water_all,Water,Reference,0,Argentina,Neuquen_alta_barrancas,km3,param,0.819415,0.98918364267391,Water_all 0.83 km3,Water_all km3
export,Agriculture_all,Agriculture,Reference,0,Argentina,Neuquen_alta_barrancas,km2,param,0.68,1,Agriculture_all 0.68 km2,Agriculture_all km2
municipal,Water_all,Water,Reference,0,Argentina,Neuquen_alta_barrancas,km3,param,0.00026,0.000313867511694583,Water_all 0.83 km3,Water_all km3
other,Electricity_all,Electricity,Reference,0,Argentina,Neuquen_alta_barrancas,GWh,param,5.477967,0.423394274497019,Electricity_all 12.9 GWh,Electricity_all GWh
residential,Electricity_all,Electricity,Reference,0,Argentina,Neuquen_alta_barrancas,GWh,param,7.46025,0.576605725502981,Electricity_all 12.9 GWh,Electricity_all GWh
